epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.6902026983926881,0.5448113207547169,0.6936614127720103,0.5117647058823529,0.001
2,0.6894852665235411,0.5454009433962265,0.6942920811036054,0.5117647058823529,0.001
3,0.6890259430093585,0.5454009433962265,0.694356205182917,0.5117647058823529,0.001
4,0.6890024059223678,0.5454009433962265,0.6940075264257544,0.5117647058823529,0.001
5,0.6889927814591605,0.5454009433962265,0.6942100756308611,0.5117647058823529,0.001
6,0.6886827034770318,0.5454009433962265,0.6942562706330243,0.5117647058823529,0.001
7,0.6885161422333628,0.5454009433962265,0.6948728014441098,0.5117647058823529,0.001
8,0.6889782053119732,0.5418632075471698,0.6946499705314636,0.5117647058823529,0.001
9,0.6881562347682018,0.5454009433962265,0.6951488431762246,0.5117647058823529,0.001
10,0.6876574743468806,0.5430424528301887,0.6943365216255188,0.5117647058823529,0.001
11,0.6883446000656992,0.5442216981132075,0.6956961028716143,0.5117647058823529,0.001
12,0.6879840594417644,0.5454009433962265,0.6931037818684297,0.5117647058823529,0.001
13,0.687786840042978,0.5483490566037735,0.6932435274124146,0.5117647058823529,0.001
14,0.6877986743765058,0.5465801886792453,0.6941838138243731,0.5117647058823529,0.001
15,0.6879772960015063,0.5501179245283019,0.695478911259595,0.5117647058823529,0.001
16,0.6884478870427834,0.5471698113207547,0.6982115521150477,0.5117647058823529,0.001
17,0.6882327750044049,0.5430424528301887,0.6932902294046739,0.5117647058823529,0.001
18,0.6869625730334588,0.5471698113207547,0.6937002118896035,0.5117647058823529,0.001
19,0.6874578876315423,0.5412735849056604,0.6934527158737183,0.5117647058823529,0.001
20,0.6870477604416182,0.5507075471698113,0.6927586548468646,0.5117647058823529,0.001
21,0.6872646921085861,0.5442216981132075,0.6927125397850485,0.5235294117647059,0.001
22,0.6871168669664635,0.5359669811320755,0.691808149393867,0.5205882352941177,0.001
23,0.6856820414651115,0.5483490566037735,0.6917839050292969,0.5352941176470588,0.001
24,0.6842455020490682,0.5536556603773585,0.6930352435392492,0.5294117647058824,0.001
25,0.6855837444089493,0.5524764150943396,0.6934738075031953,0.5147058823529411,0.001
26,0.6842174035198284,0.5595518867924528,0.6908583795323091,0.5411764705882353,0.001
27,0.6832832154237999,0.5725235849056604,0.6930026208653169,0.5352941176470588,0.001
28,0.6833526795765139,0.5406839622641509,0.6934451762367697,0.5205882352941177,0.001
29,0.683983084165825,0.5530660377358491,0.6905611809562234,0.5411764705882353,0.001
30,0.6824677530324684,0.566627358490566,0.6891102110638337,0.5617647058823529,0.001
31,0.682395764116971,0.5678066037735849,0.69414022249334,0.5294117647058824,0.001
32,0.6830994115685517,0.5495283018867925,0.6908020391183741,0.5294117647058824,0.001
33,0.6794533560860831,0.5701650943396226,0.6893806415445665,0.5205882352941177,0.001
34,0.681632029560377,0.5642688679245284,0.689048347753637,0.5411764705882353,0.001
35,0.6805668866859292,0.5672169811320755,0.6908991547191844,0.5323529411764706,0.001
36,0.6790154767486284,0.5601415094339622,0.6952756166458129,0.5147058823529411,0.001
37,0.6762511606486339,0.5766509433962265,0.695260220415452,0.5088235294117647,0.001
38,0.6753319839261612,0.5695754716981132,0.6910400432698867,0.538235294117647,0.001
39,0.6836659368479027,0.5601415094339622,0.691380725888645,0.5323529411764706,0.001
40,0.6791494679900835,0.5778301886792453,0.6904664264005773,0.5205882352941177,0.001
41,0.6795781389722284,0.5801886792452831,0.6906442628187291,0.5352941176470588,0.0005
42,0.671958438630374,0.5766509433962265,0.6946302035275628,0.5294117647058824,0.0005
43,0.6697832750824263,0.5731132075471698,0.6995021083775689,0.5352941176470588,0.0005
44,0.667912465221477,0.5854952830188679,0.7044945022639106,0.5147058823529411,0.0005
45,0.6640809279567791,0.5955188679245284,0.7093677590875065,0.5,0.0005
46,0.6604951811286638,0.5996462264150944,0.7263540983200073,0.5058823529411764,0.0005
47,0.65899340274199,0.6037735849056604,0.7161952453501085,0.49117647058823527,0.0005
48,0.6587849619253626,0.6002358490566038,0.7145284119774313,0.49411764705882355,0.0005
49,0.661483349665156,0.59375,0.7094922114821042,0.5029411764705882,0.0005
50,0.6588937460251574,0.5902122641509434,0.6874569941969478,0.5294117647058824,0.0005
51,0.6550734875337133,0.6008254716981132,0.6975732571938459,0.5147058823529411,0.0005
52,0.6508322470593002,0.6114386792452831,0.7426554322242737,0.5058823529411764,0.0005
53,0.6641514616192512,0.5925707547169812,0.7079501222161686,0.5235294117647059,0.0005
54,0.6512300810723934,0.6096698113207547,0.7137518756529864,0.49411764705882355,0.0005
55,0.6484228327589215,0.6155660377358491,0.7170835600179785,0.5088235294117647,0.0005
56,0.6436676495480087,0.6244103773584906,0.7051908366820392,0.5205882352941177,0.0005
57,0.6398120275083578,0.6232311320754716,0.7190976009649389,0.4970588235294118,0.0005
58,0.641554353372106,0.620872641509434,0.7465851243804483,0.49117647058823527,0.0005
59,0.6421081468744098,0.6214622641509434,0.7051149915246403,0.5,0.0005
60,0.6562939702339892,0.6037735849056604,0.7045120533774881,0.5264705882352941,0.0005
61,0.6348912648434909,0.6409198113207547,0.7515764278524062,0.5058823529411764,0.00025
62,0.630827656332052,0.6350235849056604,0.7211489284739775,0.5029411764705882,0.00025
63,0.6308264636768485,0.6491745283018868,0.7339428551056806,0.4823529411764706,0.00025
64,0.6253742260752984,0.6438679245283019,0.7259804501253015,0.5029411764705882,0.00025
65,0.6233094711348696,0.6468160377358491,0.7351580227122587,0.49117647058823527,0.00025
66,0.6211198933844296,0.6538915094339622,0.7298294186592102,0.4852941176470588,0.00025
67,0.618489218770333,0.6474056603773585,0.7393986940383911,0.4970588235294118,0.00025
68,0.6180873136475401,0.6550707547169812,0.7467917035607731,0.4852941176470588,0.00025
69,0.6160190184161348,0.6580188679245284,0.7441887343631072,0.49117647058823527,0.00025
70,0.6143774317120606,0.6591981132075472,0.7430034181650947,0.49117647058823527,0.00025
