epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.6906295834847216,0.5341981132075472,0.7024910043267643,0.4852941176470588,0.001
2,0.6900411281945571,0.5442216981132075,0.7028853872243096,0.4852941176470588,0.001
3,0.6894155032229874,0.5442216981132075,0.7016646343119004,0.4852941176470588,0.001
4,0.6895392593347801,0.5442216981132075,0.701528738526737,0.4852941176470588,0.001
5,0.6896855954853993,0.5442216981132075,0.7001137459979337,0.4852941176470588,0.001
6,0.6891128758214554,0.5442216981132075,0.6997833819950328,0.4852941176470588,0.001
7,0.6891143558160314,0.5442216981132075,0.6984978745965397,0.4852941176470588,0.001
8,0.688311942343442,0.5454009433962265,0.6977879902895759,0.4852941176470588,0.001
9,0.6885902386791302,0.5418632075471698,0.6974741066203398,0.4852941176470588,0.001
10,0.6881033744452134,0.535377358490566,0.6970414736691644,0.4852941176470588,0.001
11,0.6877137096423023,0.5477594339622641,0.6956015495692982,0.4852941176470588,0.001
12,0.6870538401153853,0.5495283018867925,0.6981477618217469,0.4852941176470588,0.001
13,0.6877713664522711,0.5389150943396226,0.6945596126949086,0.4852941176470588,0.001
14,0.6862709106139417,0.5489386792452831,0.6967289917609271,0.4852941176470588,0.001
15,0.6858582282966038,0.5507075471698113,0.6957350794006797,0.4852941176470588,0.001
16,0.6863918495628069,0.5507075471698113,0.6976475757711074,0.4852941176470588,0.001
17,0.6855538554911343,0.5512971698113207,0.6959019787171308,0.4852941176470588,0.001
18,0.6841241278738346,0.5530660377358491,0.6992970522712258,0.4852941176470588,0.001
19,0.6844709121956015,0.5524764150943396,0.6979652453871334,0.4852941176470588,0.001
20,0.6847681335683139,0.5495283018867925,0.6974753807572758,0.48823529411764705,0.001
21,0.6849763438386737,0.5542452830188679,0.6972421477822697,0.4823529411764706,0.001
22,0.6827300123448642,0.5566037735849056,0.6962211391505073,0.48823529411764705,0.001
23,0.682656226293096,0.5613207547169812,0.7003130625276005,0.4764705882352941,0.001
24,0.682624507625148,0.5660377358490566,0.7006048910758075,0.4823529411764706,0.0005
25,0.6810460675437495,0.5725235849056604,0.6993704929071314,0.5,0.0005
26,0.6808162354073435,0.5636792452830188,0.6984025835990906,0.4647058823529412,0.0005
27,0.6813484486543907,0.5683962264150944,0.6993447009254904,0.47352941176470587,0.0005
28,0.6797088800736193,0.5707547169811321,0.6994924405041862,0.4764705882352941,0.0005
29,0.6790942212320724,0.5683962264150944,0.7010535022791694,0.49117647058823527,0.0005
30,0.6791624078210795,0.5678066037735849,0.7011370644849889,0.4852941176470588,0.0005
31,0.6788149138666549,0.5766509433962265,0.7007327016662149,0.5,0.0005
32,0.6787186444930311,0.5672169811320755,0.7019463819615981,0.48823529411764705,0.0005
33,0.6789304625313237,0.5713443396226415,0.7026717739946702,0.4852941176470588,0.0005
