epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.690493106842041,0.5442216981132075,0.6934602008146398,0.5205882352941177,0.001
2,0.6886094190039724,0.5483490566037735,0.6931611131219303,0.5205882352941177,0.001
3,0.6882169898950828,0.5483490566037735,0.6929151100270888,0.5205882352941177,0.001
4,0.688964565969863,0.5483490566037735,0.6922072003869449,0.5205882352941177,0.001
5,0.6886643891064625,0.5483490566037735,0.6920014886295094,0.5294117647058824,0.001
6,0.6891420809727795,0.5483490566037735,0.6920076124808368,0.5117647058823529,0.001
7,0.6881663416916469,0.5507075471698113,0.6916889394030852,0.5235294117647059,0.001
8,0.6886345744132996,0.5477594339622641,0.6924588554045733,0.5176470588235295,0.001
9,0.6881703599443976,0.5495283018867925,0.6917986996033613,0.5352941176470588,0.001
10,0.6876626374586573,0.5530660377358491,0.6922451355878044,0.5235294117647059,0.001
11,0.6875106883498857,0.5518867924528302,0.6931842397241031,0.538235294117647,0.001
12,0.6870483036311168,0.5542452830188679,0.6941287089796627,0.5323529411764706,0.001
13,0.6888079969388134,0.5483490566037735,0.6934591910418342,0.5205882352941177,0.001
14,0.6876551149026403,0.5501179245283019,0.6918361313202802,0.5323529411764706,0.001
15,0.6869766858388793,0.5542452830188679,0.6924435601514929,0.5352941176470588,0.001
16,0.6866186463607932,0.5536556603773585,0.6956210683373844,0.5088235294117647,0.001
17,0.687122181901392,0.5536556603773585,0.6935868410503163,0.5235294117647059,0.001
18,0.6859912962283728,0.5542452830188679,0.6952234057819142,0.5029411764705882,0.0005
19,0.6864498797452675,0.5560141509433962,0.6959947389714858,0.5147058823529411,0.0005
20,0.6861854431764135,0.5548349056603774,0.6966821460162892,0.5029411764705882,0.0005
21,0.686003605149827,0.5536556603773585,0.6955374970155603,0.5088235294117647,0.0005
22,0.6848563439441178,0.5501179245283019,0.6964616319712471,0.5264705882352941,0.0005
23,0.6862841450943137,0.5477594339622641,0.6949609805555904,0.5529411764705883,0.0005
24,0.6861141863858925,0.5566037735849056,0.6982835475136252,0.5147058823529411,0.0005
25,0.6840202943334039,0.5554245283018868,0.6965515122694128,0.5058823529411764,0.0005
26,0.6865093291930433,0.5442216981132075,0.6962956302306231,0.5,0.0005
27,0.6836047240023343,0.5524764150943396,0.6969702145632576,0.5147058823529411,0.0005
